DATE,DEXUSUK
2010-01-01,1.6027500000000000
2010-01-08,1.6007800000000000
2010-01-15,1.6235000000000000
2010-01-22,1.6247750000000000
2010-01-29,1.6160000000000000
2010-02-05,1.5837800000000000
2010-02-12,1.5655600000000000
2010-02-19,1.5613750000000000
2010-02-26,1.5362600000000000
2010-03-05,1.5036800000000000
2010-03-12,1.5056000000000000
2010-03-19,1.5158400000000000
2010-03-26,1.4968400000000000
2010-04-02,1.5146400000000000
2010-04-09,1.5280600000000000
2010-04-16,1.5425600000000000
2010-04-23,1.5353200000000000
2010-04-30,1.5304400000000000
2010-05-07,1.5027800000000000
2010-05-14,1.4800600000000000
2010-05-21,1.4397200000000000
2010-05-28,1.4450200000000000
2010-06-04,1.4605750000000000
2010-06-11,1.4544800000000000
2010-06-18,1.4805600000000000
2010-06-25,1.4919800000000000
2010-07-02,1.5086200000000000
2010-07-09,1.5152750000000000
2010-07-16,1.5228000000000000
2010-07-23,1.5277200000000000
2010-07-30,1.5588800000000000
2010-08-06,1.5912800000000000
2010-08-13,1.5712400000000000
2010-08-20,1.5602200000000000
2010-08-27,1.5513000000000000
2010-09-03,1.5429600000000000
2010-09-10,1.5415750000000000
2010-09-17,1.5582600000000000
2010-09-24,1.5663200000000000
2010-10-01,1.5806200000000000
2010-10-08,1.5909600000000000
2010-10-15,1.5915250000000000
2010-10-22,1.5786600000000000
2010-10-29,1.5873200000000000
2010-11-05,1.6126600000000000
2010-11-12,1.6110750000000000
2010-11-19,1.5971400000000000
2010-11-26,1.5786500000000000
2010-12-03,1.5614200000000000
2010-12-10,1.5763200000000000
2010-12-17,1.5676400000000000
2010-12-24,1.5443250000000000
2010-12-31,1.5399500000000000
2011-01-07,1.5524600000000000
2011-01-14,1.5734200000000000
2011-01-21,1.5965750000000000
2011-01-28,1.5888400000000000
2011-02-04,1.6116200000000000
2011-02-11,1.6081800000000000
2011-02-18,1.6126200000000000
2011-02-25,1.6133500000000000
2011-03-04,1.6276600000000000
2011-03-11,1.6133200000000000
2011-03-18,1.6120600000000000
2011-03-25,1.6230800000000000
2011-04-01,1.6045000000000000
2011-04-08,1.6274000000000000
2011-04-15,1.6321800000000000
2011-04-22,1.6407600000000000
2011-04-29,1.6563800000000000
2011-05-06,1.6518800000000000
2011-05-13,1.6310000000000000
2011-05-20,1.6199000000000000
2011-05-27,1.6280800000000000
2011-06-03,1.6388000000000000
2011-06-10,1.6364600000000000
2011-06-17,1.6246000000000000
2011-06-24,1.6106200000000000
2011-07-01,1.6039000000000000
2011-07-08,1.6020000000000000
2011-07-15,1.6051400000000000
2011-07-22,1.6183600000000000
2011-07-29,1.6365400000000000
2011-08-05,1.6328200000000000
2011-08-12,1.6245800000000000
2011-08-19,1.6487000000000000
2011-08-26,1.6389200000000000
2011-09-02,1.6263000000000000
2011-09-09,1.5948250000000000
2011-09-16,1.5800400000000000
2011-09-23,1.5568800000000000
2011-09-30,1.5638200000000000
2011-10-07,1.5467800000000000
2011-10-14,1.5722000000000000
2011-10-21,1.5780400000000000
2011-10-28,1.6019200000000000
2011-11-04,1.6009200000000000
2011-11-11,1.5998250000000000
2011-11-18,1.5814200000000000
2011-11-25,1.5571500000000000
2011-12-02,1.5631600000000000
2011-12-09,1.5647400000000000
2011-12-16,1.5514000000000000
2011-12-23,1.5633400000000000
2011-12-30,1.5518000000000000
2012-01-06,1.5551000000000000
2012-01-13,1.5375200000000000
2012-01-20,1.5447500000000000
2012-01-27,1.5633800000000000
2012-02-03,1.5777000000000000
2012-02-10,1.5825800000000000
2012-02-17,1.5757800000000000
2012-02-24,1.5760500000000000
2012-03-02,1.5897600000000000
2012-03-09,1.5767000000000000
2012-03-16,1.5710200000000000
2012-03-23,1.5854000000000000
2012-03-30,1.5932400000000000
2012-04-06,1.5913200000000000
2012-04-13,1.5879400000000000
2012-04-20,1.5999400000000000
2012-04-27,1.6162000000000000
2012-05-04,1.6194400000000000
2012-05-11,1.6144400000000000
2012-05-18,1.5937000000000000
2012-05-25,1.5720400000000000
2012-06-01,1.5487500000000000
2012-06-08,1.5440400000000000
2012-06-15,1.5564200000000000
2012-06-22,1.5672400000000000
2012-06-29,1.5582600000000000
2012-07-06,1.5598000000000000
2012-07-13,1.5504000000000000
2012-07-20,1.5646600000000000
2012-07-27,1.5584600000000000
2012-08-03,1.5625200000000000
2012-08-10,1.5648800000000000
2012-08-17,1.5700600000000000
2012-08-24,1.5798400000000000
2012-08-31,1.5825000000000000
2012-09-07,1.5933500000000000
2012-09-14,1.6112000000000000
2012-09-21,1.6236400000000000
2012-09-28,1.6185000000000000
2012-10-05,1.6153200000000000
2012-10-12,1.6024250000000000
2012-10-19,1.6095800000000000
2012-10-26,1.6038400000000000
2012-11-02,1.6079400000000000
2012-11-09,1.5965600000000000
2012-11-16,1.5866250000000000
2012-11-23,1.5950750000000000
2012-11-30,1.6018400000000000
2012-12-07,1.6080000000000000
2012-12-14,1.6114400000000000
2012-12-21,1.6233800000000000
2012-12-28,1.6123500000000000
2013-01-04,1.6176000000000000
2013-01-11,1.6079400000000000
2013-01-18,1.6008400000000000
2013-01-25,1.5824500000000000
2013-02-01,1.5766000000000000
2013-02-08,1.5714000000000000
2013-02-15,1.5577200000000000
2013-02-22,1.5313000000000000
2013-03-01,1.5119200000000000
2013-03-08,1.5035200000000000
2013-03-15,1.4972600000000000
2013-03-22,1.5156600000000000
2013-03-29,1.5165800000000000
2013-04-05,1.5203800000000000
2013-04-12,1.5333000000000000
2013-04-19,1.5285400000000000
2013-04-26,1.5340000000000000
